,FECHA,FRECUENCIA
0,2023-12-04,1
1,2023-12-05,183
2,2023-12-06,2
3,2023-12-07,34
4,2023-12-08,3
5,2023-12-09,6
6,2023-12-10,0
7,2023-12-11,40
8,2023-12-12,0
9,2023-12-13,25
10,2023-12-14,3
11,2023-12-15,1
12,2023-12-16,3
13,2023-12-17,0
14,2023-12-18,40
15,2023-12-19,18
16,2023-12-20,8
17,2023-12-21,8
18,2023-12-22,1
19,2023-12-23,8
20,2023-12-24,2
21,2023-12-25,0
22,2023-12-26,4
23,2023-12-27,15
24,2023-12-28,22
25,2023-12-29,3
26,2023-12-30,0
27,2023-12-31,3
28,2024-01-01,7
29,2024-01-02,6
30,2024-01-03,5
31,2024-01-04,7
32,2024-01-05,11
33,2024-01-06,2
34,2024-01-07,2
35,2024-01-08,1
36,2024-01-09,1
37,2024-01-10,4
38,2024-01-11,1
39,2024-01-12,2
40,2024-01-13,0
41,2024-01-14,2
42,2024-01-15,10
43,2024-01-16,0
44,2024-01-17,9
45,2024-01-18,26
46,2024-01-19,6
47,2024-01-20,42
48,2024-01-21,0
49,2024-01-22,2
50,2024-01-23,1
51,2024-01-24,2
52,2024-01-25,0
53,2024-01-26,6
54,2024-01-27,2
55,2024-01-28,0
56,2024-01-29,2
57,2024-01-30,16
58,2024-01-31,2
59,2024-02-01,10
60,2024-02-02,5
61,2024-02-03,4
62,2024-02-04,1
63,2024-02-05,1
64,2024-02-06,17
65,2024-02-07,1
66,2024-02-08,0
